"","sort(rowSums(as.matrix(term_freq_con)), decreasing = TRUE)"
"government",1890
"development",1496
"economic",1215
"financial",1035
"expenditure",965
"services",918
"public",820
"economy",777
"tax",736
"new",716
"market",704
"measures",684
"people",679
"increase",629
"provide",629
"support",615
"growth",602
"community",528
"scheme",523
"revenue",512
"business",505
"industry",486
"mainland",474
"continue",470
"social",446
"fiscal",433
"land",422
"additional",417
"international",410
"enterprises",406
"opportunities",396
"fund",393
"industries",393
"projects",393
"two",375
"enhance",372
"care",359
"local",357
"capital",353
"budget",352
"resources",352
"education",350
"help",347
"use",347
"first",337
"trade",331
"global",330
"work",328
"promote",326
"account",323
"future",315
"past",313
"number",310
"various",304
"environment",299
"three",294
"service",292
"set",290
"gdp",287
"funding",281
"including",280
"technology",279
"one",274
"investment",273
"make",271
"well",271
"employment",270
"recurrent",270
"centre",269
"next",269
"policy",266
"training",265
"programme",263
"operating",258
"many",255
"propose",253
"facilities",252
"society",252
"time",250
"estimated",249
"forecast",249
"since",249
"quality",247
"housing",246
"elderly",244
"expected",240
"private",240
"major",238
"sector",238
"tourism",238
"take",236
"promoting",234
"infrastructure",232
"management",232
"construction",231
"markets",229
"areas",228
"need",227
"area",223
"health",223
"system",220
"hope",216
"view",215
"end",213
"world",212
"improve",210
"places",206
"providing",205
"reserves",205
"may",204
"supply",202
"residential",201
"estimate",199
"five",199
"reduce",197
"council",196
"sites",196
"rmb",193
"high",192
"challenges",191
"deficit",191
"works",191
"sectors",190
"governments",189
"benefit",188
"property",187
"needs",186
"strengthen",182
"inflation",180
"encourage",178
"allowance",177
"different",177
"believe",176
"plan",175
"better",174
"city",174
"demand",173
"annual",172
"period",172
"four",171
"peoples",170
"together",170
"average",169
"however",169
"efforts",168
"months",168
"recent",168
"bond",165
"funds",165
"level",165
"second",165
"increased",164
"develop",161
"longterm",161
"coming",160
"cooperation",160
"meet",160
"relevant",160
"external",159
"ensure",158
"face",158
"competitiveness",157
"developing",157
"increasing",156
"rates",154
"logistics",152
"working",152
"overseas",151
"still",151
"implementation",149
"professional",149
"research",149
"activities",148
"building",148
"taking",146
"life",145
"long",145
"pressure",145
"position",144
"potential",143
"talent",142
"green",141
"initiatives",141
"include",140
"terms",140
"launch",139
"cost",138
"enhancing",138
"good",138
"greater",138
"important",138
"introduce",138
"overall",138
"trading",138
"allocate",137
"profits",137
"provided",137
"attract",136
"existing",136
"medium",136
"higher",135
"welfare",135
"forward",134
"maintain",134
"provision",134
"burden",133
"healthcare",132
"proposal",132
"ahead",131
"announced",131
"population",131
"products",131
"small",131
"facilitate",130
"hospital",130
"around",129
"companies",129
"innovation",129
"interest",129
"programmes",129
"buildings",128
"implement",128
"pilot",128
"making",127
"finances",126
"address",125
"president",125
"project",125
"students",125
"units",125
"duty",124
"economies",124
"proposals",124
"put",124
"term",124
"commercial",123
"low",122
"platform",122
"study",122
"transport",121
"vehicles",121
"value",120
"current",119
"financing",119
"full",119
"livelihood",119
"bonds",118
"half",118
"office",118
"order",118
"place",118
"open",117
"quarter",117
"surplus",117
"department",116
"create",115
"six",115
"authority",114
"domestic",114
"planning",114
"addition",113
"park",113
"policies",113
"assistance",112
"design",112
"sale",112
"subject",112
"cultural",111
"following",111
"home",111
"living",111
"region",111
"recovery",110
"brought",109
"citizens",109
"within",109
"appropriate",108
"labour",108
"real",108
"consider",107
"centres",106
"persons",106
"review",106
"whole",106
"members",105
"protection",105
"build",104
"even",104
"launched",104
"prices",104
"early",103
"made",103
"operation",103
"proposed",103
"remain",103
"retail",103
"seek",103
"situation",103
"information",102
"introduced",102
"way",102
"achieve",101
"asia",101
"hub",101
"institutions",101
"manpower",101
"regime",101
"taxpayers",101
"young",101
"application",100
"equivalent",100
"expand",100
"income",100
"possible",100
"wealth",100
"apart",99
"improving",99
"sports",99
"become",98
"problems",98
"air",97
"ceiling",97
"come",97
"investors",97
"original",97
"principle",97
"due",96
"generations",96
"necessary",96
"competition",95
"departments",95
"finance",95
"impact",95
"promotion",95
"rise",95
"bureau",94
"changes",94
"related",94
"relief",94
"sustainable",94
"central",93
"conditions",93
"jobs",93
"reduction",93
"unemployment",93
"chief",92
"goods",92
"district",91
"explore",91
"lower",91
"organisations",91
"road",91
"startups",91
"values",91
"arts",90
"civil",90
"every",90
"exchange",90
"extend",90
"free",90
"special",90
"among",89
"give",89
"nearly",89
"share",89
"stable",89
"today",89
"actively",88
"capacity",88
"consultation",88
"improvement",88
"oneoff",88
"another",87
"creative",87
"fees",87
"food",87
"job",87
"present",87
"strive",87
"supporting",87
"ageing",86
"amount",86
"arrangements",86
"insurance",86
"measure",86
"see",86
"assessment",85
"effect",85
"invest",85
"medical",85
"secretary",85
"times",85
"consolidated",84
"march",84
"risk",84
"spending",84
"strong",84
"asset",83
"eligible",83
"old",83
"representing",83
"effective",82
"electric",82
"families",82
"smes",82
"visitors",82
"subsidy",81
"executive",80
"keep",80
"pay",80
"performance",80
"raise",80
"thereby",80
"always",79
"completed",79
"key",79
"role",79
"airport",78
"base",78
"businesses",78
"cargo",78
"far",78
"hard",78
"industrial",78
"means",78
"regional",78
"success",78
"best",77
"committee",77
"difficulties",77
"environmental",77
"given",77
"groups",77
"production",77
"salaries",77
"stability",77
"balance",76
"crisis",76
"range",76
"respect",76
"result",76
"general",75
"group",75
"revised",75
"security",75
"upon",75
"bay",74
"child",74
"competitive",74
"enable",74
"experience",74
"february",74
"implemented",74
"investing",74
"just",74
"maintaining",74
"problem",74
"regulatory",74
"setting",74
"applications",73
"aside",73
"countries",73
"details",73
"flats",73
"guarantee",73
"month",73
"science",73
"strengths",73
"target",73
"ten",73
"concerned",72
"diversified",72
"example",72
"issue",72
"reach",72
"able",71
"already",71
"earmarked",71
"establishment",71
"force",71
"initiative",71
"move",71
"school",71
"children",70
"confidence",70
"epidemic",70
"established",70
"foster",70
"less",70
"percent",70
"advantages",69
"commitment",69
"consumption",69
"encouraging",69
"exports",69
"moreover",69
"therefore",69
"art",68
"asian",68
"basis",68
"compared",68
"control",68
"efficiency",68
"emerging",68
"events",68
"importance",68
"live",68
"rapid",68
"square",68
"access",67
"big",67
"bill",67
"charges",67
"districts",67
"interests",67
"loan",67
"phases",67
"price",67
"third",67
"bring",66
"culture",66
"redevelopment",66
"starting",66
"trend",66
"approved",65
"course",65
"cover",65
"disadvantaged",65
"family",65
"much",65
"regard",65
"return",65
"water",65
"caring",64
"costs",64
"floor",64
"particular",64
"soon",64
"strengthening",64
"approach",63
"banks",63
"completion",63
"disabilities",63
"enjoy",63
"expect",63
"mainly",63
"outlook",63
"run",63
"step",63
"accounts",62
"comprehensive",62
"expansion",62
"factors",62
"favourable",62
"framework",62
"implementing",62
"individual",62
"metres",62
"strategy",62
"views",62
"yet",62
"concession",61
"deduction",61
"guangdong",61
"improved",61
"issuance",61
"line",61
"offer",61
"site",61
"ways",61
"west",61
"conduct",60
"everyone",60
"involving",60
"legislative",60
"respectively",60
"standard",60
"adopt",59
"creating",59
"fourth",59
"hotel",59
"network",59
"offshore",59
"properties",59
"rehabilitation",59
"results",59
"workers",59
"accounting",58
"allocated",58
"aspirations",58
"commission",58
"film",58
"fully",58
"introduction",58
"part",58
"point",58
"pragmatic",58
"reform",58
"required",58
"schemes",58
"seven",58
"sound",58
"stage",58
"stamp",58
"systems",58
"taxes",58
"understand",58
"valueadded",58
"age",57
"based",57
"change",57
"efficient",57
"enhanced",57
"generation",57
"learning",57
"limited",57
"monetary",57
"payments",57
"phase",57
"realise",57
"several",57
"chinese",56
"gradually",56
"personal",56
"poverty",56
"shortterm",56
"substantially",56
"advanced",55
"allow",55
"collaboration",55
"ease",55
"feasibility",55
"hkma",55
"patients",55
"registration",55
"series",55
"solid",55
"start",55
"suitable",55
"towards",55
"wine",55
"aim",54
"basic",54
"continued",54
"despite",54
"foundation",54
"large",54
"objective",54
"opportunity",54
